Company Name,HQ Location,Industry,Headcount,Revenue,Offers Construction Admin,CA Management Tools,Construction Litigation,Project Focus Types,Open Job Titles and Dates,,
Cushing Terrell,Find contacts,"Billings, Montana, United States",Architecture & Planning,201-500,$100M-$250M,Yes - Their education and commercial service descriptions include “construction administration” support.,Procore,None found,"Mixed: commercial (~25%), education (~20%), healthcare (~15%), civic/government (~15%), multi-family & other residential (~15%), retail/industrial/inf",Yes. Examples: Certified Commissioning Engineer/Agent – 8d; BIM Coordinator – ~Jan 2026; roles with CA/QA/QC/documentation duties in descriptions.,Yes. Architectural Designer (construction admin support) – posted on EDG careers page (no date listed).
Adamson Associates Architects,Find contacts,"Toronto, Ontario, Canada",Architecture & Planning,201-500,$100M-$250M,Unclear,Research with AI,None found,Research with AI,No current CA/QA/QC/documentation tech roles; only design/technologist posts.,No current CA/QA/QC/tech/Doc Control roles; only Project Accountant (posted ~Dec 2025) and Senior HR & People & Culture Coordinator (posted ~Jun 2025)
Clark Nexsen,Find contacts,"Virginia Beach, Virginia, United States",Architecture & Planning,201-500,$100M-$250M,Yes - bridge engineering page lists “construction administration” among capabilities,Research with AI,None found,Research with AI,Unknown – no clearly labeled construction admin/CA/QA/QC/documentation tech roles found.,No current CA/QA/QC/tech openings; careers page lists no job openings.
McMillan Pazdan Smith Architecture,Find contacts,"Spartanburg, South Carolina, United States",Architecture & Planning,201-500,$100M-$250M,Yes - Their About page emphasizes “the construction administration process” as a key service.,Research with AI,None found,Research with AI,"Yes – “Specification Writer” (Greenville, SC), posted Jan 2026 (docs/specs & QC).",No current CA/QA/QC/documentation/technology openings; only architect roles listed.
Olson Kundig,Find contacts,"Seattle, Washington, United States",Architecture & Planning,201-500,$100M-$250M,Unclear,Research with AI,"Yes – at least two IP/business disputes, 6/13/2022 & 11/20/2023 (not construction).",Research with AI,Yes. Roles include Quality Control Manager – Architecture (posted ~mid-Jan 2026).,"Yes – Office Specialist (St. Louis, MO), posted Jan 2026 (admin/support role)."
Kasian Architecture Interior Design and Planning,Find contacts,"Vancouver, British Columbia, Canada",Architecture & Planning,201-500,$100M-$250M,Yes - job postings list “undertake site reviews and construction administration.”,Research with AI,None found,Research with AI,Yes. Construction‑admin–related roles: • Project Architect (Defence projects) – LinkedIn – posted ~Jan 2026 • Senior Project Architect (High‑Rise and,"Yes – Project Architect (Architecture) and Senior Project Manager – Construction (both 2025); also Administrative Assistant (Architecture, 2025)."
Lamar Johnson Collaborative,Find contacts,"Chicago, Illinois, United States",Architecture & Planning,201-500,$100M-$250M,Unclear,Research with AI,None found,Research with AI,"Yes. Example: “Project Architect – Residential” (LinkedIn, ~Jan 2026).",No current construction admin/CA-related roles found.
SMMA,Find contacts,"Cambridge, Massachusetts, United States",Architecture & Planning,201-500,$100M-$250M,Yes - SMMA mentions “construction contract administration” and staff providing “construction administration services” on its site.,Research with AI,None found,Research with AI,No current construction admin-related openings found on LinkedIn or SMMA careers.,"No relevant CA/QA/QC/tech construction admin jobs found as of Jan 28, 2026"
AO,Find contacts,"Orange, California, United States",Architecture & Planning,201-500,$100M-$250M,Unclear,Research with AI,None found,Research with AI,Unknown – no current AO construction admin/CA/QA/QC/documentation tech jobs found.,Yes. Roles include Project Designer (Construction Admin) – listed ~Jan 2026.
GreenbergFarrow,Find contacts,"Atlanta, Georgia, United States",Architecture & Planning,201-500,$100M-$250M,Yes - Their Architecture and Civil Engineering services lists include Construction Administration.,Research with AI,Yes – multiple contract disputes/litigation found (details below).,Research with AI,Unknown – no accessible listings found specifically for CA/QA/QC/doc roles.,"Yes – CAD/REVIT Technician (careers page, active as of Jan 2026)."
"LHB, Inc.",Find contacts,"Duluth, Minnesota, United States",Architecture & Planning,201-500,$100M-$250M,Yes - Mortarr lists construction administration among LHB’s areas of expertise.,Research with AI,"Dieter v. Gardner Builders Minneapolis, LLC et al. (filed Oct 23, 2020; ongoing as of Mar 11, 2022) – LHB, Inc. named as defendant/cross-claimant in a",Research with AI,Yes. Roles with CA/QA/QC elements are open; none titled “Construction Administrator.”,"Yes – Careers page lists roles with CA duties (e.g., Architectural Intern – “Assist in all phases…CDs and CA”), but no LinkedIn jobs; no explicit “CA/"
Bergmann,Find contacts,"Rochester, New York, United States",Architecture & Planning,201-500,$50M-$100M,Yes - Colliers/Bergmann service lists “Construction Administration” under structural services.,Research with AI,None found,Research with AI,"Yes – Preconstruction Manager – Design Management Support (includes CA & QA/QC), posted ~Jan 2026",No CA/QA/QC roles; current openings are engineering/interior design only.
Interplan LLC - Nationwide Development Architects and Engineers,Find contacts,"Altamonte Springs, Florida, United States",Architecture & Planning,51-200,$50M-$100M,Yes - Craft.co lists “construction administration services” as one of Interplan’s offerings.,Research with AI,"New CFH, LLC et al. v. Horizon General Contractors, Inc. et al., incl. Interplan, LLC (construction/design defects at Burger King, Tupelo, MS), filed",Research with AI,"Yes – e.g., “Architectural Project Coordinator” (posted ~Nov 2025; still active).",Yes – hiring a “Construction Administrator” (3+ yrs exp). Posting date not listed.
TPG Architecture,Find contacts,"New York, New York, United States",Architecture & Planning,51-200,$100M-$250M,Unclear,Research with AI,None found,Research with AI,Yes. Example CA-related roles: Project Architect (construction admin focus) – LinkedIn: posted ~Nov 2025; other current openings only listed via “care,"Yes. Project Manager (incl. construction admin) – job posted on or before Jan 26, 2026."
TowerPinkster,Find contacts,"Kalamazoo, Michigan, United States",Architecture & Planning,51-200,$50M-$100M,Yes - job postings and team roles describe leading projects through the Construction Administration phase,Research with AI,None found,Research with AI,Yes. Careers page lists “Project Architect” (posted ~Jan 2026) with construction admin duties.,"No current CA/QA/QC/documentation/tech job posts found for EDI International, PC"
Boulder Associates,Find contacts,"Boulder, Colorado, United States",Architecture & Planning,201-500,$100M-$250M,Yes - their Qdexx profile lists “construction administration services” among offerings.,Research with AI,None found,Research with AI,"No current CA/QA/QC/documentation tech roles; recent CA-related roles were: - Architect II – Charlotte, NC (includes construction administration; job,",No CA/QA/QC/documentation tech roles; only Architect & Interior Designer roles listed.
Kirksey Architecture,Find contacts,"Houston, Texas, United States",Architecture & Planning,201-500,$100M-$250M,Yes - Services list includes Construction Administration among offerings.,Research with AI,None found,Research with AI,Yes. Project Administrative Assistant – Construction Administration (posted ~mid‑Jan 2026).,No current CA/QA/QC/tech construction admin roles found.
OTJ Architects,Find contacts,"Washington, District Of Columbia, United States",Architecture & Planning,201-500,$100M-$250M,Yes - bios describe overseeing projects through construction administration and close-out,Research with AI,None found,Research with AI,"No construction admin roles; only Summer Intern (various cities) and Junior Interior Architect (Arlington, VA), all posted ~1 day ago.","Yes – e.g., Project Administration Assistant (Abbotsford, BC) – listed on careers page (active as of Jan 22, 2026)."
